Team,Player,Pos.,Age,HT,WT,Exp,College
DAL,Dak Prescott,QB,33.0,"6' 2""",230 lbs,11,
DAL,Joe Milton III,QB,26.0,"6' 5""",236 lbs,3,
DAL,Sam Howell,QB,25.0,"6' 1""",225 lbs,5,
DAL,Israel Abanikanda,RB,23.0,"5' 10""",217 lbs,3,
DAL,Jashaun Corbin,RB,26.0,"5' 11""",203 lbs,2,
DAL,Javonte Williams,RB,26.0,"5' 10""",222 lbs,6,
DAL,Jaydon Blue,RB,22.0,"5' 9""",198 lbs,2,
DAL,Malik Davis,RB,27.0,"5' 10""",205 lbs,3,
DAL,Phil Mafah,RB,23.0,"6' 1""",232 lbs,2,
DAL,Brevyn Spann-Ford,TE,26.0,"6' 6""",265 lbs,3,
DAL,DJ Rogers,TE,24.0,"6' 4""",245 lbs,0,
DAL,Jake Ferguson,TE,27.0,"6' 5""",250 lbs,5,
DAL,Luke Schoonmaker,TE,27.0,"6' 5""",250 lbs,4,
DAL,Michael Trigg,TE,24.0,"6' 4""",240 lbs,0,
DAL,Princeton Fant,TE,27.0,"6' 2""",245 lbs,2,
DAL,Zack Kuntz,TE,27.0,"6' 8""",251 lbs,1,
DAL,Anthony Smith,WR,24.0,"6' 2""",197 lbs,0,
DAL,Camden Brown,WR,22.0,"6' 2""",204 lbs,0,
DAL,CeeDee Lamb,WR,27.0,"6' 2""",198 lbs,7,
DAL,Denzel Mims,WR,28.0,"6' 3""",207 lbs,4,
DAL,George Pickens,WR,25.0,"6' 3""",200 lbs,5,
DAL,Jaden Smith,WR,24.0,"6' 6""",210 lbs,0,
DAL,Jonathan Mingo,WR,25.0,"6' 2""",225 lbs,4,
DAL,Jordan Hudson,WR,22.0,"6' 1""",199 lbs,0,
DAL,KaVontae Turpin,WR,30.0,"5' 7""",158 lbs,5,
DAL,Marquez Valdes-Scantling,WR,31.0,"6' 4""",206 lbs,9,
DAL,Ryan Flournoy,WR,26.0,"6' 1""",205 lbs,3,
DAL,Tyler Johnson,WR,27.0,"6' 1""",208 lbs,6,
DEN,Bo Nix,QB,26.0,"6' 2""",217 lbs,3,
