"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"139,Oronde Gadsden II,36,0,0,1,Sun,5,5,2025-10-05,22-102,LAC,,WAS,L 10-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,14,14.0,0,100.0,14.0,1,100.0,36,53.7,0,0.0,0,0.0,TE,GadsOr01"
"140,Noah Gray,36,0,0,0,Mon,5,5,2025-10-06,26-159,KAN,@,JAX,L 28-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,36,56.3,0,0.0,5,19.2,TE,GrayNo00"
"141,Kyle Juszczyk,36,0,1,4,Thu,5,5,2025-10-02,34-162,SFO,@,LAR,W 26-23 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,-1,-1.0,0,0,0.0,4,3,21,7.0,0,75.0,5.3,1,75.0,36,41.9,0,0.0,4,13.8,FB,JuszKy00"
"142,Mo Alie-Cox,35,0,0,0,Sun,5,5,2025-10-05,32-016,IND,,LVR,W 40-6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,35,53.0,0,0.0,7,36.8,TE,AlieMo00"
"143,Rashod Bateman,35,0,0,3,Sun,5,5,2025-10-05,25-310,BAL,,HOU,L 10-44,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,0,0,,0,0.0,0.0,0,0.0,35,81.4,0,0.0,0,0.0,WR,BateRa00"
"144,Mack Hollins,35,0,0,0,Sun,5,5,2025-10-05,32-019,NWE,@,BUF,W 23-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,35,58.3,0,0.0,5,20.0,WR,HollMa00"
"145,Hunter Long,35,0,0,1,Mon,5,5,2025-10-06,27-048,JAX,,KAN,W 31-28,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,3,3.0,0,100.0,3.0,0,0.0,35,60.3,0,0.0,7,26.9,TE,LongHu00"
"146,Chris Moore,35,0,0,1,Sun,5,5,2025-10-05,32-111,WAS,@,LAC,W 27-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,0,0,,0,0.0,0.0,0,0.0,35,59.3,0,0.0,0,0.0,WR,MoorCh00"
"147,Josh Palmer,35,0,0,2,Sun,5,5,2025-10-05,26-013,BUF,,NWE,L 20-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,36,18.0,0,100.0,18.0,2,100.0,35,51.5,0,0.0,0,0.0,WR,PalmJo00"
"148,Zach Charbonnet,34,0,9,2,Sun,5,5,2025-10-05,24-270,SEA,,TAM,L 35-38,0,0,0,,0,0,0,0,,,,0,0,,,,,,,9,36,4.0,1,3,55.6,2,1,12,12.0,0,50.0,6.0,0,0.0,34,55.7,0,0.0,0,0.0,RB,CharZa00"
"149,Travis Etienne,34,0,12,4,Mon,5,5,2025-10-06,26-253,JAX,,KAN,W 31-28,0,0,0,,0,0,0,0,,,,0,0,,,,,,,12,49,4.1,0,2,75.0,4,3,9,3.0,0,75.0,2.3,0,50.0,34,58.6,0,0.0,0,0.0,RB,EtieTr00"
