Rank,Player,Team,Pos.,Age,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
141,Drew Lock,SEA,QB,0,238.6,238.99999999999997,2955,28.0,0.0,0,0,0.0,14,88,0.0
142,Drew Sample,CIN,TE,0,34.2,13.200000000000003,0,0.0,0.0,21,132,0.0,0,0,0.0
143,Durham Smythe,BAL,TE,0,2.8,2.8000000000000003,0,0.0,0.0,0,28,0.0,0,0,0.0
144,Dyami Brown,WSH,WR,0,42.8,14.799999999999999,0,0.0,0.0,28,148,0.0,0,0,0.0
145,Dylan Laube,LVR,RB,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
146,Dylan Sampson,CLE,RB,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
147,E.J. Jenkins,PHI,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
148,Efton Chism,NWE,WR,0,11.2,-2.8000000000000003,0,0.0,0.0,14,0,0.0,0,0,0.0
149,Eli Heidenreich,PIT,RB,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
150,Eli Raridon,NWE,TE,0,78.4,64.4,0,0.0,0.0,14,224,7.0,0,0,0.0
151,Elic Ayomanor,TEN,WR,0,125.7,97.7,0,0.0,0.0,28,557,7.0,0,0,0.0
152,Elijah Arroyo,SEA,TE,0,19.9,11.900000000000004,0,0.0,0.0,8,119,0.0,0,0,0.0
153,Elijah Higgins,ARI,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
154,Emanuel Wilson,SEA,RB,0,66.9,66.9,0,0.0,0.0,0,0,0.0,163,669,0.0
155,Emari Demercado,DAL,RB,0,10.6,10.599999999999998,0,0.0,0.0,0,0,0.0,32,106,0.0
156,Emeka Egbuka,TAM,WR,0,151.4,95.39999999999999,0,0.0,0.0,56,553,7.0,9,0,0.0
157,Emmett Johnson,KAN,RB,0,100.1,72.10000000000001,0,0.0,0.0,28,448,0.0,70,273,0.0
158,Eric Saubert,SEA,TE,0,0.0,-7.0,0,0.0,0.0,7,0,0.0,0,0,0.0
159,Erick All,CIN,TE,0,17.2,3.2,0,0.0,0.0,14,32,0.0,0,0,0.0
160,Evan Engram,DEN,TE,0,118.0,84.0,0,0.0,0.0,34,420,7.0,0,0,0.0
161,Feleipe Franks,CAR,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
162,Foster Moreau,HOU,TE,0,62.2,34.199999999999996,0,0.0,0.0,28,342,0.0,0,0,0.0
163,Frank Gore Jr.,BUF,RB,0,2.5,2.5000000000000004,0,0.0,0.0,0,0,0.0,5,25,0.0
164,Garrett Wilson,NYJ,WR,0,221.2,137.2,0,0.0,0.0,84,952,7.0,0,0,0.0
165,Gary Jennings Jr,LAC,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
166,Gavin Bartholomew,MIN,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
167,Geno Smith,NYJ,QB,0,173.6,174.11999999999998,3233,7.0,0.0,0,0,0.0,76,168,0.0
168,George Holani,SEA,RB,0,30.8,30.799999999999994,0,0.0,0.0,0,14,0.0,84,294,0.0
169,George Kittle,SFO,TE,0,148.1,106.09999999999998,0,0.0,0.0,42,641,7.0,0,0,0.0
170,George Pickens,DAL,WR,0,111.6,47.59999999999999,0,0.0,0.0,64,476,0.0,0,0,0.0
171,Germie Bernard,PIT,WR,0,52.5,24.5,0,0.0,0.0,28,245,0.0,0,0,0.0
172,Greg Dortch,BUF,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
173,Greg Dulcich,MIA,TE,0,52.6,24.6,0,0.0,0.0,28,246,0.0,0,0,0.0
174,Gunnar Helm,TEN,TE,0,70.5,28.500000000000004,0,0.0,0.0,42,285,0.0,0,0,0.0
175,Harold Fannin,CLE,TE,0,103.3,52.3,0,0.0,0.0,51,523,0.0,0,0,0.0
176,Hunter Henry,NWE,TE,0,88.2,46.19999999999999,0,0.0,0.0,42,462,0.0,0,0,0.0
177,Hunter Long,ARI,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
178,Hunter Luepke,DAL,FB,0,5.6,5.6000000000000005,0,0.0,0.0,0,0,0.0,14,56,0.0
179,Ian Thomas,LVR,TE,0,12.6,7.6,0,0.0,0.0,5,76,0.0,0,0,0.0
180,Isaac TeSlaa,DET,WR,0,32.2,18.200000000000003,0,0.0,0.0,14,182,0.0,0,0,0.0
181,Isaiah Bond,CLE,WR,0,12.0,7.0,0,0.0,0.0,5,70,0.0,0,0,0.0
182,Isaiah Davis,NYJ,RB,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
183,Isaiah Likely,NYG,TE,0,250.5,161.5,0,0.0,0.0,89,775,14.0,0,0,0.0
184,Isaiah Williams,NYJ,WR,0,88.3,38.3,0,0.0,0.0,50,285,0.0,7,98,0.0
185,J. Michael Sturdivant,GNB,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
186,J.K. Dobbins,DEN,RB,0,50.4,50.40000000000001,0,0.0,0.0,0,0,0.0,126,504,0.0
187,Ja'Kobi Lane,BAL,WR,0,29.4,15.399999999999997,0,0.0,0.0,14,154,0.0,0,0,0.0
188,Ja'Marr Chase,CIN,WR,0,208.0,145.0,0,0.0,0.0,63,610,14.0,0,0,0.0
189,Jack Bech,LVR,WR,0,112.6,75.60000000000001,0,0.0,0.0,37,336,7.0,0,0,0.0
190,Jack Endries,CIN,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
191,Jack Strand,ATL,QB,0,56.0,55.440000000000005,826,0.0,14.0,0,0,0.0,28,224,0.0
192,Jackson Hawes,BUF,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
193,Jackson Meeks,DET,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
194,Jacob Cowing,SFO,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
195,Jacob Saylors,DET,RB,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
196,Jacoby Brissett,ARI,QB,0,174.5,174.5,2600,14.0,7.0,0,0,0.0,45,145,0.0
197,Jacory Croskey-Merritt,WSH,RB,0,128.8,114.80000000000003,0,0.0,0.0,14,0,0.0,196,742,7.0
198,Jadarian Price,SEA,RB,0,110.6,82.60000000000001,0,0.0,0.0,28,98,0.0,157,728,0.0
199,Jahan Dotson,ATL,WR,0,49.0,21.0,0,0.0,0.0,28,210,0.0,0,0,0.0
200,Jahdae Walker,CHI,WR,0,48.7,42.70000000000001,0,0.0,0.0,6,7,7.0,0,0,0.0
201,Jahmyr Gibbs,DET,RB,0,411.6,334.6,0,0.0,0.0,77,637,7.0,312,1449,14.0
202,Jake Briningstool,KAN,TE,0,12.7,6.7,0,0.0,0.0,6,67,0.0,0,0,0.0
203,Jake Ferguson,DAL,TE,0,160.3,118.30000000000001,0,0.0,0.0,42,343,14.0,0,0,0.0
204,Jake Tonges,SFO,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
205,Jakobi Meyers,JAX,WR,0,110.0,91.0,0,0.0,0.0,19,476,7.0,8,14,0.0
206,Jaleel McLaughlin,CLE,RB,0,4.2,4.199999999999999,0,0.0,0.0,0,0,0.0,14,42,0.0
207,Jalen Brooks,ARI,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
208,Jalen Coker,CAR,WR,0,338.8,226.79999999999995,0,0.0,0.0,112,1428,14.0,0,0,0.0
209,Jalen Hurts,PHI,QB,0,314.3,314.14,3271,35.0,14.0,0,0,0.0,84,433,0.0
210,Jalen McMillan,TAM,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
211,Jalen Nailor,LVR,WR,0,53.2,25.200000000000006,0,0.0,0.0,28,252,0.0,0,0,0.0
212,Jalen Royals,KAN,WR,0,60.2,46.19999999999999,0,0.0,0.0,14,42,7.0,0,0,0.0
213,Jameis Winston,NYG,QB,0,63.0,63.559999999999995,1554,0.0,14.0,0,0,0.0,28,14,0.0
214,James Cook,BUF,RB,0,215.6,187.60000000000002,0,0.0,0.0,28,112,0.0,238,1344,7.0
215,Jameson Williams,DET,WR,0,96.6,54.59999999999999,0,0.0,0.0,42,546,0.0,0,0,0.0
216,Jared Goff,DET,QB,0,323.5,323.71999999999997,3738,42.0,0.0,0,0,0.0,35,62,0.0
217,Jared Wayne,HOU,WR,0,49.8,31.8,0,0.0,0.0,18,318,0.0,0,0,0.0
218,Jauan Jennings,MIN,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
219,Javonte Williams,DAL,RB,0,225.1,169.09999999999997,0,0.0,0.0,56,357,7.0,168,494,7.0
220,Jaxon Smith-Njigba,SEA,WR,0,473.9,361.90000000000003,0,0.0,0.0,112,1939,28.0,0,0,0.0
