Rank,Player,Team,Pos.,PPR,Std,Age,PassAtt,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
250,De'Von Achane,MIA,RB,308.8,262.8,24.0,0.0,0.0,0.0,0.0,46.0,357.0,4.0,240.0,1371.0,11.0
251,Jaylen Wright,MIA,RB,104.5,92.5,23.0,0.0,0.0,0.0,0.0,12.0,70.0,0.0,128.0,555.0,5.0
252,Ollie Gordon,MIA,RB,63.3,56.3,22.0,0.0,0.0,0.0,0.0,7.0,35.0,2.0,64.0,228.0,3.0
253,Greg Dulcich,MIA,TE,84.4,50.4,26.0,0.0,0.0,0.0,0.0,34.0,384.0,2.0,0.0,0.0,0.0
254,Will Kacmarek,MIA,TE,65.7,42.7,23.0,0.0,0.0,0.0,0.0,23.0,247.0,3.0,0.0,0.0,0.0
255,Seydou Traore,MIA,TE,59.8,36.8,24.0,0.0,0.0,0.0,0.0,23.0,248.0,2.0,0.0,0.0,0.0
256,Malik Washington,MIA,WR,111.2,77.2,25.0,0.0,0.0,0.0,0.0,34.0,229.0,4.0,16.0,123.0,3.0
257,Caleb Douglas,MIA,WR,100.1,66.1,22.0,0.0,0.0,0.0,0.0,34.0,406.0,4.0,0.0,15.0,0.0
258,Chris Bell,MIA,WR,100.1,66.1,22.0,0.0,0.0,0.0,0.0,34.0,409.0,4.0,0.0,12.0,0.0
259,Jalen Tolbert,MIA,WR,56.0,33.0,27.0,0.0,0.0,0.0,0.0,23.0,210.0,2.0,0.0,0.0,0.0
260,Tutu Atwell,MIA,WR,52.3,40.3,26.0,0.0,0.0,0.0,0.0,12.0,283.0,2.0,0.0,0.0,0.0
261,Kyler Murray,MIN,QB,268.54,268.54,29.0,463.0,3026.0,23.0,10.0,0.0,0.0,0.0,79.0,455.0,5.0
262,J.J. McCarthy,MIN,QB,29.36,29.36,23.0,19.0,144.0,2.0,1.0,0.0,0.0,0.0,11.0,56.0,2.0
263,Aaron Jones,MIN,RB,166.1,138.1,31.0,0.0,0.0,0.0,0.0,28.0,231.0,2.0,176.0,730.0,5.0
264,Jordan Mason,MIN,RB,131.9,117.9,27.0,0.0,0.0,0.0,0.0,14.0,55.0,0.0,160.0,764.0,6.0
265,Demond Claiborne,MIN,RB,158.3,130.3,22.0,0.0,0.0,0.0,0.0,28.0,180.0,1.0,144.0,643.0,7.0
266,T.J. Hockenson,MIN,TE,104.9,63.9,29.0,0.0,0.0,0.0,0.0,41.0,399.0,4.0,0.0,0.0,0.0
267,Josh Oliver,MIN,TE,53.2,39.2,29.0,0.0,0.0,0.0,0.0,14.0,152.0,4.0,0.0,0.0,0.0
268,Ben Yurosek,MIN,TE,2.7,2.7,24.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
269,Justin Jefferson,MIN,WR,167.3,98.3,27.0,0.0,0.0,0.0,0.0,69.0,847.0,2.0,0.0,16.0,0.0
270,Jauan Jennings,MIN,WR,161.8,106.8,29.0,0.0,0.0,0.0,0.0,55.0,588.0,8.0,0.0,0.0,0.0
271,Jordan Addison,MIN,WR,158.5,117.5,24.0,0.0,0.0,0.0,0.0,41.0,646.0,4.0,0.0,169.0,2.0
272,Tai Felton,MIN,WR,2.7,2.7,23.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
273,Jeshaun Jones,MIN,WR,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,Drake Maye,NWE,QB,424.2,424.2,23.0,489.0,4620.0,41.0,8.0,0.0,0.0,0.0,96.0,434.0,8.0
