Rank,Player,Team,Pos.,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
160,David Martin-Robinson,TEN,TE,0.8,0.8,0,0.0,0.0,0,2,0.1,0,0,0.0
161,David Montgomery,DET,RB,9.7,8.7,0,0.1,0.0,1,11,0.0,9,42,0.5
162,David Moore,CAR,WR,0.4,0.4,0,0.0,0.0,0,1,0.0,0,3,0.0
163,David Njoku,CLE,TE,7.3,4.3,0,0.0,0.0,3,25,0.3,0,0,0.0
164,David Sills,ATL,WR,0.3,0.3,0,0.0,0.0,0,3,0.0,0,0,0.0
165,David Sills V,ATL,WR,2.9,1.9,0,0.0,0.0,1,13,0.1,0,0,0.0
166,Davis Allen,LAR,TE,3.4,2.4,0,0.0,0.0,1,12,0.2,0,0,0.0
167,Davis Mills,HOU,QB,11.5,11.5,152,0.8,0.2,0,0,0.0,2,10,0.2
168,Dawson Knox,BUF,TE,5.7,3.7,0,0.0,0.0,2,25,0.2,0,0,0.0
169,De'Von Achane,MIA,RB,20.2,16.2,0,0.0,0.0,4,30,0.3,15,84,0.5
170,DeAndre Carter,CLE,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
171,DeAndre Hopkins,BAL,WR,3.6,2.6,0,0.0,0.0,1,20,0.1,0,0,0.0
172,DeMario Douglas,NWE,WR,2.5,1.5,0,0.0,0.0,1,15,0.0,0,0,0.0
173,DeVonta Smith,PHI,WR,12.2,7.2,0,0.0,0.0,5,60,0.2,0,0,0.0
174,DeeJay Dallas,JAX,RB,0.4,0.4,0,0.0,0.0,0,0,0.0,0,4,0.0
175,Deebo Samuel,WSH,WR,12.4,7.4,0,0.0,0.0,5,45,0.3,1,5,0.1
176,Demarcus Robinson,SFO,WR,4.6,2.6,0,0.0,0.0,2,20,0.1,0,0,0.0
177,Demario Douglas,NWE,WR,6.2,4.2,0,0.0,0.0,2,29,0.2,0,1,0.0
178,Derius Davis,LAC,WR,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
179,Derrick Henry,BAL,RB,16.7,15.7,0,0.0,0.0,1,9,0.0,18,94,0.9
180,Devaughn Vele,NOR,WR,5.5,3.5,0,0.0,0.0,2,23,0.2,0,0,0.0
181,Deven Thompkins,ATL,WR,0.5,0.5,0,0.0,0.0,0,4,0.0,0,1,0.0
182,Devin Culp,TAM,TE,0.6,0.6,0,0.0,0.0,0,0,0.1,0,0,0.0
183,Devin Duvernay,CHI,WR,0.2,0.2,0,0.0,0.0,0,2,0.0,0,0,0.0
184,Devin Neal,NOR,RB,6.3,4.3,0,0.0,0.0,2,10,0.0,6,21,0.2
185,Devin Singletary,NYG,RB,6.2,5.2,0,0.0,0.0,1,9,0.0,7,25,0.3
186,Devontez Walker,BAL,WR,3.9,2.9,0,0.0,0.0,1,11,0.3,0,0,0.0
187,Dillon Gabriel,CLE,QB,7.4,7.4,95,0.7,0.2,0,0,0.0,1,8,0.0
188,Dominic Lovett,DET,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
189,Dont'e Thornton,LVR,WR,1.9,0.9,0,0.0,0.0,1,9,0.0,0,0,0.0
190,Dontayvion Wicks,GNB,WR,5.0,3.0,0,0.0,0.0,2,24,0.1,0,0,0.0
191,Drake Dabney,GNB,TE,1.1,0.1,0,0.0,0.0,1,1,0.0,0,0,0.0
192,Drake London,ATL,WR,17.3,11.3,0,0.0,0.0,6,77,0.6,0,0,0.0
193,Drake Maye,NWE,QB,21.3,21.3,258,1.8,0.5,0,0,0.0,6,26,0.2
194,Drew Lock,SEA,QB,0.0,0.0,3,0.0,0.0,0,0,0.0,1,0,0.0
195,Drew Sample,CIN,TE,2.2,1.2,0,0.0,0.0,1,6,0.1,0,0,0.0
196,Durham Smythe,CHI,TE,0.2,0.2,0,0.0,0.0,0,2,0.0,0,0,0.0
197,Dyami Brown,JAX,WR,3.4,2.4,0,0.0,0.0,1,16,0.1,0,2,0.0
198,Dylan Drummond,ATL,WR,1.5,0.5,0,0.0,0.0,1,5,0.0,0,0,0.0
199,Dylan Laube,LVR,RB,0.2,0.2,0,0.0,0.0,0,1,0.0,0,1,0.0
200,Dylan Sampson,CLE,RB,5.6,3.6,0,0.0,0.0,2,18,0.1,4,12,0.0
201,E.J. Jenkins,PHI,TE,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
202,Efton Chism,NWE,WR,1.5,1.5,0,0.0,0.0,0,9,0.1,0,0,0.0
203,Elic Ayomanor,TEN,WR,7.4,4.4,0,0.0,0.0,3,32,0.2,0,0,0.0
204,Elijah Arroyo,SEA,TE,3.0,2.0,0,0.0,0.0,1,14,0.1,0,0,0.0
205,Elijah Higgins,ARI,TE,3.8,1.8,0,0.0,0.0,2,18,0.0,0,0,0.0
206,Elijah Mitchell,KAN,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
