Player,Team,Pos.,G,PassAtt,PassAttStDev,Cmp,IndComp%,CompStDev,TeamComp%,PassYds,PassYdsStDev,PassYds%,PassTD,PassTDStDev,PassTD%,Int,IntStDev,Int%,Tgt,TgtStDev,Rec,IndCatch%,CatStDev,TmCatch%,RecYds,RecYdsStDev,RecYds%,RecTD,RecTDStDev,RecTD%,RushAtt,RushStDev,Rush%,RushYds,RushYdsStDev,RushYds%,RushTD,RushTDStDev,RushTD%,Opp,Week
Brian Robinson Jr.,ATL,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,1.4142135623730951,2,1.0,1.4142135623730951,0.06666666666666667,16,11.313708498984761,0.05555555555555555,0,0.0,0.0,20,1.4142135623730951,0.31746031746031744,82,14.142135623730951,0.296028880866426,0,0.0,0.0,GNB,3
Brian Thomas,JAX,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11,3.5355339059327378,6,0.5454545454545454,0.0,0.17142857142857143,80,0.0,0.18433179723502305,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,NWE,3
Britain Covey,PHI,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,CHI,3
British Brooks,HOU,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,IND,3
Brock Purdy,SFO,QB,2,56,8.48528137423857,45,0.8035714285714286,3.5355339059327378,0.8035714285714286,492,57.982756057296896,1.0,5,0.7071067811865476,1.0,1,0.7071067811865476,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,1.4142135623730951,0.14035087719298245,59,0.7071067811865476,0.21933085501858737,1,0.7071067811865476,0.3333333333333333,ARI,3
Brock Wright,DET,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.7071067811865476,1,1.0,0.7071067811865476,0.019230769230769232,5,3.5355339059327378,0.009380863039399626,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,NYJ,3
Bryce Lance,NOR,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,2.1213203435596424,4,0.8,1.4142135623730951,0.06451612903225806,50,24.041630560342615,0.0755287009063444,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,LVR,3
Bryce Young,CAR,QB,2,73,0.7071067811865476,46,0.6301369863013698,0.0,0.6216216216216216,648,52.32590180780452,1.0,6,0.0,1.0,1,0.7071067811865476,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.7071067811865476,0.06818181818181818,16,2.8284271247461903,0.08290155440414508,1,0.7071067811865476,0.5,CLE,3
Brycen Tremayne,CAR,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,CLE,3
Bucky Irving,TAM,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11,2.1213203435596424,11,1.0,2.1213203435596424,0.25,49,33.23401871576773,0.12311557788944724,0,0.0,0.0,25,6.363961030678928,0.5555555555555556,134,31.11269837220809,0.5929203539823009,1,0.7071067811865476,0.5,MIN,3
C.J. Stroud,HOU,QB,2,93,12.020815280171307,56,0.6021505376344086,2.8284271247461903,0.6021505376344086,627,55.86143571373726,1.0,2,1.4142135623730951,1.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.7071067811865476,0.1,44,9.899494936611665,0.2391304347826087,0,0.0,0.0,IND,3
